Date,Open,High,Low,Close
06/28/96 00:00:00,1.2889,1.2889,1.2825,1.2834
07/01/96 00:00:00,1.2829,1.2853,1.281,1.2837
07/02/96 00:00:00,1.2842,1.2843,1.2796,1.2812
07/03/96 00:00:00,1.2813,1.2868,1.2784,1.2863
07/04/96 00:00:00,1.2861,1.2871,1.2814,1.2842
07/05/96 00:00:00,1.2841,1.2842,1.2768,1.2807
07/08/96 00:00:00,1.2805,1.2823,1.2773,1.2823
07/09/96 00:00:00,1.2822,1.2845,1.281,1.2815
07/10/96 00:00:00,1.2817,1.2833,1.2809,1.2817
07/11/96 00:00:00,1.2819,1.2871,1.2795,1.285
07/12/96 00:00:00,1.285,1.2888,1.2826,1.2836
07/15/96 00:00:00,1.2839,1.2907,1.2819,1.29
07/16/96 00:00:00,1.2906,1.3302,1.2899,1.3181
07/17/96 00:00:00,1.3174,1.3204,1.3111,1.3164
07/18/96 00:00:00,1.3163,1.3177,1.3087,1.3107
07/19/96 00:00:00,1.3107,1.3171,1.3079,1.3152
07/22/96 00:00:00,1.3159,1.3192,1.3086,1.3166
07/23/96 00:00:00,1.3167,1.3206,1.3111,1.3132
07/24/96 00:00:00,1.3132,1.319,1.3111,1.3135
07/25/96 00:00:00,1.3135,1.3278,1.3115,1.3242
07/26/96 00:00:00,1.3247,1.3267,1.3171,1.3201
07/29/96 00:00:00,1.3194,1.3221,1.318,1.321
07/30/96 00:00:00,1.3212,1.3251,1.3185,1.3246
07/31/96 00:00:00,1.3237,1.3352,1.3237,1.3282
08/01/96 00:00:00,1.3282,1.3305,1.3243,1.3255
08/02/96 00:00:00,1.3254,1.3264,1.3202,1.325
08/05/96 00:00:00,1.3238,1.3291,1.3174,1.3202
08/06/96 00:00:00,1.3194,1.3206,1.3144,1.3179
08/07/96 00:00:00,1.3178,1.3202,1.3149,1.3174
08/08/96 00:00:00,1.3175,1.3188,1.314,1.3184
08/09/96 00:00:00,1.3184,1.3241,1.3172,1.3238
08/12/96 00:00:00,1.3237,1.3273,1.3227,1.3232
08/13/96 00:00:00,1.3237,1.3266,1.3229,1.3249
08/14/96 00:00:00,1.3248,1.3248,1.3123,1.3131
08/15/96 00:00:00,1.3134,1.3181,1.3125,1.3167
08/16/96 00:00:00,1.3169,1.3171,1.3087,1.3111
08/19/96 00:00:00,1.311,1.3158,1.3093,1.3149
08/20/96 00:00:00,1.3152,1.3152,1.311,1.314
08/21/96 00:00:00,1.3142,1.3206,1.3132,1.3193
08/22/96 00:00:00,1.3194,1.3194,1.307,1.3113
08/23/96 00:00:00,1.3111,1.3253,1.3094,1.3235
08/26/96 00:00:00,1.3229,1.3247,1.321,1.3229
08/27/96 00:00:00,1.3224,1.3269,1.3212,1.3231
08/28/96 00:00:00,1.3231,1.3264,1.3197,1.3245
08/29/96 00:00:00,1.3243,1.3259,1.3198,1.3241
08/30/96 00:00:00,1.3239,1.3261,1.3174,1.3211
09/02/96 00:00:00,1.3204,1.3209,1.3147,1.3156
09/03/96 00:00:00,1.3156,1.319,1.3119,1.3178
09/04/96 00:00:00,1.3181,1.3225,1.316,1.321
09/05/96 00:00:00,1.3212,1.3219,1.3154,1.3163
09/06/96 00:00:00,1.3162,1.3183,1.3094,1.3113
09/09/96 00:00:00,1.3114,1.3135,1.3029,1.3039
09/10/96 00:00:00,1.3041,1.3054,1.2935,1.2946
09/11/96 00:00:00,1.2946,1.2979,1.2915,1.2948
09/12/96 00:00:00,1.2946,1.2974,1.2907,1.2931
09/13/96 00:00:00,1.2933,1.2958,1.2893,1.2925
09/16/96 00:00:00,1.2925,1.2967,1.2912,1.2946
09/17/96 00:00:00,1.2946,1.2958,1.29,1.2919
09/18/96 00:00:00,1.2915,1.2996,1.2906,1.2958
09/19/96 00:00:00,1.2962,1.2969,1.2906,1.292
