Date,Time,Open,High,Low,Close,Volume
2014.10.10,00:00,89.1,90.49,88.11,90.21,366
2014.10.13,00:00,89.89,90.18,87.74,88.89,389
2014.10.14,00:00,88.23,88.74,84.48,85.04,534
2014.10.15,00:00,85.54,85.62,83.02,83.78,345
2014.10.16,00:00,83.36,88,82.93,85.82,769
2014.10.17,00:00,86.5,87.34,85.49,86.16,337
2014.10.20,00:00,86.35,86.7,84.41,85.4,364
2014.10.21,00:00,85.13,86.49,85.1,86.22,170
2014.10.22,00:00,86.46,87.07,84.47,84.71,346
2014.10.23,00:00,84.71,87.19,84.12,86.83,403
2014.10.24,00:00,86.78,86.78,85.29,86.13,234
2014.10.27,00:00,86.08,86.25,84.55,85.83,316
2014.10.28,00:00,85.5,86.38,85.08,86.03,208
2014.10.29,00:00,86.1,87.94,86.06,87.12,275
2014.10.30,00:00,86.93,87.1,85.71,86.24,210
2014.10.31,00:00,86.02,86.25,84.6,85.86,315
2014.11.03,00:00,85.85,86.4,84.01,84.78,372
2014.11.04,00:00,84.21,84.43,82.08,82.82,332
2014.11.05,00:00,82.78,84.45,81.63,82.95,548
2014.11.06,00:00,83.1,83.27,82.05,82.86,221
2014.11.07,00:00,82.67,83.86,82.16,83.39,269
2014.11.10,00:00,83.26,84.97,81.88,82.34,527
2014.11.11,00:00,82.13,82.38,80.46,81.67,339
2014.11.12,00:00,81.25,81.65,79.72,80.38,300
2014.11.13,00:00,79.97,80.2,77.83,77.92,270
2014.11.17,00:00,79.5,79.6,77.94,79.31,314
2014.11.18,00:00,79.01,79.95,78.21,78.47,295
2014.11.19,00:00,78.41,79.45,78.04,78.1,252
2014.11.20,00:00,78.16,79.95,77.56,79.33,362
2014.11.21,00:00,79.95,81.61,79.07,80.36,468
2014.11.24,00:00,80.5,80.85,79.4,79.68,209
2014.11.25,00:00,79.45,80.44,78.05,78.33,367
2014.11.26,00:00,78.28,78.86,77.3,77.75,260
2014.11.27,00:00,77.4,77.46,71.25,72.58,761
2014.11.28,00:00,72.58,73.41,69.78,70.15,484
2014.12.01,00:00,70.15,73.02,67.53,72.54,860
2014.12.02,00:00,72.51,73.03,70.4,70.54,330
2014.12.03,00:00,70.95,71.46,69.5,69.92,290
2014.12.04,00:00,70.15,70.6,68.81,69.64,308
2014.12.05,00:00,69.53,69.82,68.1,69.07,299
2014.12.08,00:00,68.79,68.79,65.93,66.19,313
2014.12.09,00:00,66,67.04,65.29,66.84,267
2014.12.10,00:00,66.25,66.36,63.56,64.24,360
2014.12.11,00:00,64.47,65.13,63.05,63.68,338
2014.12.12,00:00,63.01,63.66,61.35,61.85,347
2014.12.15,00:00,61.2,63.25,60.2,61.06,597
2014.12.16,00:00,60.87,61.25,58.5,60.01,465
2014.12.17,00:00,59.9,63.4,58.71,61.18,811
2014.12.18,00:00,60.94,63.7,59.17,59.27,740
2014.12.19,00:00,59.85,62.66,59.05,61.38,570
2014.12.22,00:00,61.99,62.97,59.84,60.11,439
2014.12.23,00:00,60.24,62.14,59.84,61.69,316
2014.12.24,00:00,61.63,61.71,59.37,60.24,330
2014.12.26,00:00,60.19,60.97,59.21,59.45,279
2014.12.29,00:00,59.65,60.43,57.37,57.88,436
2014.12.30,00:00,57.93,58.39,56.74,57.9,328
2014.12.31,00:00,57.35,57.68,55.81,57.33,373
2015.01.02,00:00,58.02,58.54,55.48,56.42,453
2015.01.05,00:00,56.25,56.3,52.66,53.11,415
2015.01.06,00:00,53.2,53.6,50.52,51.1,407
2015.01.07,00:00,51.15,51.84,49.66,51.15,437
2015.01.08,00:00,51.06,51.91,49.81,50.96,411
2015.01.09,00:00,51.25,51.44,48.9,50.11,395
2015.01.12,00:00,49.93,49.98,47.16,47.43,315
2015.01.13,00:00,47.06,47.29,45.19,46.59,374
2015.01.14,00:00,46.84,49.21,45.59,48.69,540
2015.01.15,00:00,48.68,50.62,47,47.67,624
2015.01.16,00:00,48.25,50.41,48.07,50.17,277
2015.01.19,00:00,50.1,50.35,48.68,48.84,209
2015.01.20,00:00,48.91,49.48,47.78,47.99,249
2015.01.21,00:00,48.29,49.59,48.21,49.03,203
2015.01.22,00:00,48.6,50.45,48.02,48.52,479
2015.01.23,00:00,49.11,49.8,48.55,48.79,219
2015.01.26,00:00,48.56,49.29,47.57,48.16,305
2015.01.27,00:00,48.25,49.99,47.67,49.6,330
2015.01.28,00:00,49.1,49.72,48.29,48.47,224
2015.01.29,00:00,48.69,49.25,48.37,49.13,133
2015.01.30,00:00,49.15,53.08,48.76,52.99,481
2015.02.02,00:00,52.68,55.62,51.41,54.75,636
2015.02.03,00:00,55,59,54.84,57.91,542
2015.02.04,00:00,57.19,58.06,53.5,54.16,610
2015.02.05,00:00,54.8,57.87,53.07,56.57,784
2015.02.06,00:00,56.74,59.06,56.71,57.8,365
2015.02.09,00:00,57.93,59.61,57.3,58.34,422
2015.02.10,00:00,57.79,58.57,56.11,56.43,357
2015.02.11,00:00,56.81,57,53.91,54.66,404
2015.02.12,00:00,55.12,57.5,54.72,57.05,364
2015.02.13,00:00,59.27,61.77,59.08,61.52,314
2015.02.16,00:00,61.49,62.57,60.71,61.4,364
2015.02.17,00:00,61.68,63,60.27,62.53,462
2015.02.18,00:00,62.3,62.46,59.25,60.53,466
