Date,Open,High,Low,Close,Volume
24/10/90,709.35,709.35,709.35,709.35,"96,980"
25/10/90,698.69,698.69,698.69,698.69,"90,606"
26/10/90,688.57,688.57,688.57,688.57,"61,674"
29/10/90,690.55,690.55,690.55,690.55,"50,346"
30/10/90,673.85,673.85,673.85,673.85,"48,868"
31/10/90,649.37,649.37,649.37,649.37,"53,398"
01/11/90,653.21,653.21,653.21,653.21,"38,470"
02/11/90,657.43,657.43,657.43,657.43,"33,778"
05/11/90,673.06,673.06,673.06,673.06,"49,559"
06/11/90,661.89,661.89,661.89,661.89,"48,437"
07/11/90,662.25,662.25,662.25,662.25,"33,570"
08/11/90,661.19,661.19,661.19,661.19,"29,321"
09/11/90,662.55,662.55,662.55,662.55,"35,544"
12/11/90,661.83,661.83,661.83,661.83,"27,893"
13/11/90,659.37,659.37,659.37,659.37,"26,450"
14/11/90,652.13,652.13,652.13,652.13,"19,941"
15/11/90,655.84,655.84,655.84,655.84,"24,863"
16/11/90,656.91,656.91,656.91,656.91,"30,372"
19/11/90,658.25,658.25,658.25,658.25,"31,161"
20/11/90,652.72,652.72,652.72,652.72,"28,314"
21/11/90,643.86,643.86,643.86,643.86,"30,422"
22/11/90,642.28,642.28,642.28,642.28,"23,050"
23/11/90,638.95,638.95,638.95,638.95,"20,424"
26/11/90,601.85,601.85,601.85,601.85,"27,671"
27/11/90,592.60,592.60,592.60,592.60,"37,621"
28/11/90,587.15,587.15,587.15,587.15,"22,743"
29/11/90,558.20,558.20,558.20,558.20,"29,662"
30/11/90,544.30,544.30,544.30,544.30,"31,674"
03/12/90,583.95,583.95,583.95,583.95,"13,896"
04/12/90,581.98,581.98,581.98,581.98,"32,681"
06/12/90,607.15,607.15,607.15,607.15,"45,362"
